,Title,Link,Location,Latitude,Longitude,NumReviews,PriceRange,Tags,Categories,Address
987,8 Korean BBQ (Shaw Centre),/8-korean-bbq-shaw-centre,Orchard,1.3062164,103.8317248,66,~$35/pax,"['BEYOND', 'Featured In 1 Guide']","['Korean BBQ', ' Korean', ' BBQ', ' 1-for-1 Deals', ' Good For Groups']",1 Scotts Road #04-20/21 Shaw Centre Singapore 228208
988,South Buona Vista Road Famous Teochew Boneless Duck Rice,/south-buona-vista-road-famous-teochew-boneless-duck,Farrer Park,1.309181,103.857046,25,~$5/pax,[],"['Cheap & Good', ' Hawker Food']",16 Sam Leong Road Kim San Leng Eating House Singapore 207907
989,Canvas Gelato,/canvas-gelato,Clarke Quay,1.288211,103.842656,4,~$5/pax,[],"['Ice Cream & Yoghurt', ' Desserts', ' Cafes & Coffee']",20 Havelock Road #01-24 Central Square  Singapore 059765
990,Huggs Coffee (18 Tai Seng),/huggs-coffee-at-18-tai-seng,Macpherson,1.3365879,103.8888008,6,~$10/pax,[],['Cafes & Coffee'],18 Tai Seng Street #01-K1 18 Tai Seng Singapore 539755
991,Marcello,/marcello,Robertson Quay,1.290155,103.839048,9,~$40/pax,[],"['Bars', ' Cafes & Coffee', ' Cocktails', ' Breakfast & Brunch', ' Western']",1 Nanson Road InterContinental Singapore Robertson Quay Singapore 238909
992,Kingyo Izakaya,/kingyo-izakaya-1,Tanjong Pagar,1.2800399,103.8473809,2,~$40/pax,[],['Japanese'],173 Telok Ayer Street Singapore 068622
993,Lao Huo Tang (Raffles City),/soup-master-2,City Hall,1.29404303,103.85326747,2,~$10/pax,[],"['Soup', ' Kopitiam', ' Hawker Food']",252 North Bridge Road #03-15/16/17 Stall 3 Raffles City The Food Place Singapore 179103
994,Tiew Mai Thai Boat Noodle,/tiew-mai-thai-boat-noodles,Hougang,1.3702205,103.8951515,31,~$15/pax,[],['Thai'],1187 Upper Serangoon Road #01-22 The Midtown Singapore 533971
995,Petit Pain,/petit-pain,Joo Chiat,1.3093598,103.9025,8,~$5/pax,[],"['Desserts', ' Bread', ' Newly Opened']",315 Joo Chiat Road Singapore 427566
996,Cold Stone Creamery (VivoCity),/cold-stone-creamery-18,Harbourfront,1.2640606,103.8223506,21,~$10/pax,[],"['Ice Cream & Yoghurt', ' Desserts']",1 HarbourFront Walk #02-K1 VivoCity Singapore 098585
